path,taxa,specimen,tissue
Search engine/test/AnthopleuraPAN59/filament/image0110.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0117.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0121.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0122.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0123.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0175.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0179.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0200.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0201.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0203.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0211.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0213.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN59/filament/image0231.tif,Anthopleura,PAN59,filament
Search engine/test/AnthopleuraPAN60/filament/image0001 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0001.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0002 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0002.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0003 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0003 (3).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0003.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0004 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0004 (3).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0004.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0005 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0005.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0006 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0006.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0007 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0007.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0008 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0008 (3).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0008.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0009.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0010 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0010.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0011 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0011.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0012 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0012.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0013.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0014 (2).tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0014.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0015.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0016.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0020.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0075.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0087.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0088.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0089.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0090.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN60/filament/image0091.tif,Anthopleura,PAN60,filament
Search engine/test/AnthopleuraPAN61/filament/image.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0007.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0018.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0020.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0021.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0024 (2).tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0024.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0031.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0045.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0049.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0052.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0061.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0071.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0074.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0077.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0080.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0081.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0086.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0087.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0088.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0089.tif,Anthopleura,PAN61,filament
Search engine/test/AnthopleuraPAN61/filament/image0090.tif,Anthopleura,PAN61,filament
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0001.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0002.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0003.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0004.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0005.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0006.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0007.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0008.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0009.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0010.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0011.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0012.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0013.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0014.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0015.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0016.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0017.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0018.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0019.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0020.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0021.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0022.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0023.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0024.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0025.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0026.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0027.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0028.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0029.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0030.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0031.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0032.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0033.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0034.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0035.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0036.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0037.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0038.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0039.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0040.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0041.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0042.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0043.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0044.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0045.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0046.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0047.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/acontia/image0048.tif,Calliactistigre Hawaii,UF5018,acontia
Search engine/test/Calliactistigre Hawaii UF5018/column/image.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0001.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0002.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0003.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0004.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0005.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0006.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0007.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0008.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0009.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0010.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0011.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0012.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0013.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0014.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0015.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0016.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0017.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0018.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0019.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0020.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/column/image0021.tif,Calliactistigre Hawaii,UF5018,column
Search engine/test/Calliactistigre Hawaii UF5018/filament/image.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0001.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0002.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0003.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0004.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0005.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0006.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0007.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0008.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0009.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0010.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0011.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0012.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0013.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0014.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0015.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0016.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0017.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0018.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0019.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0020.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0021.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0022.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0023.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0024.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0025.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0026.tif,Calliactistigre Hawaii,UF5018,filament
Search engine/test/Calliactistigre Hawaii UF5018/filament/image0027.tif,Calliactistigre Hawaii,UF5018,filament
