path,taxa,specimen,tissue,path_anx,path_cal_xml,path_eax,path_lmd,path_sbx,canonical_name,length,width
Streamline process/measured/Anthopleura_MEX13@/image0076.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0076.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0076.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0076.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0076.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0076.tif.sbx,Anthopleura_MEX13__10,18.919297724680973,4.410392724802688
Streamline process/measured/Anthopleura_MEX13@/image0083.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0083.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0083.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0083.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0083.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0083.tif.sbx,Anthopleura_MEX13__11,18.517263156779585,4.8214251390889
Streamline process/measured/Anthopleura_MEX13@/image0095.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0095.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0095.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0095.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0095.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0095.tif.sbx,Anthopleura_MEX13__12,17.906852942360626,4.4509130175163225
Streamline process/measured/Anthopleura_MEX13@/image0100.tif,Anthopleura,MEX13,,Streamline process/measured/Anthopleura_MEX13@/image0100.tif.anx,Streamline process/measured/Anthopleura_MEX13@/image0100.tif.cal.xml,Streamline process/measured/Anthopleura_MEX13@/image0100.tif.eax,Streamline process/measured/Anthopleura_MEX13@/image0100.tif.lmd,Streamline process/measured/Anthopleura_MEX13@/image0100.tif.sbx,Anthopleura_MEX13__13,17.74696736746156,4.614211386749503
Streamline process/measured/Anthopleura_MEX15@/filament/image0012.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0012.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0012.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0012.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0012.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0012.tif.sbx,Anthopleura_MEX15_filament_0,18.086350698070063,4.472819205936085
Streamline process/measured/Anthopleura_MEX15@/filament/image0013.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0013.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0013.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0013.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0013.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0013.tif.sbx,Anthopleura_MEX15_filament_1,18.437650053675455,4.318507925203515
Streamline process/measured/Anthopleura_MEX15@/filament/image0015.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0015.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0015.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0015.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0015.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0015.tif.sbx,Anthopleura_MEX15_filament_2,19.66213341267345,4.388893578468114
Streamline process/measured/Anthopleura_MEX15@/filament/image0020.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0020.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0020.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0020.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0020.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0020.tif.sbx,Anthopleura_MEX15_filament_3,23.228047026335748,4.339880863303424
Streamline process/measured/Anthopleura_MEX15@/filament/image0024.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0024.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0024.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0024.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0024.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0024.tif.sbx,Anthopleura_MEX15_filament_4,,
Streamline process/measured/Anthopleura_MEX15@/filament/image0025.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0025.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0025.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0025.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0025.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0025.tif.sbx,Anthopleura_MEX15_filament_5,22.361971615765853,4.964902486412867
Streamline process/measured/Anthopleura_MEX15@/filament/image0028.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0028.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0028.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0028.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0028.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0028.tif.sbx,Anthopleura_MEX15_filament_6,,
Streamline process/measured/Anthopleura_MEX15@/filament/image0030.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0030.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0030.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0030.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0030.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0030.tif.sbx,Anthopleura_MEX15_filament_7,18.28352916939984,4.008306228499714
Streamline process/measured/Anthopleura_MEX15@/filament/image0032.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0032.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0032.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0032.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0032.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0032.tif.sbx,Anthopleura_MEX15_filament_8,21.699125500557788,4.236066241959453
Streamline process/measured/Anthopleura_MEX15@/filament/image0034.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0034.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0034.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0034.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0034.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0034.tif.sbx,Anthopleura_MEX15_filament_9,25.90320021449221,6.180324382009291
Streamline process/measured/Anthopleura_MEX15@/filament/image0035.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0035.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0035.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0035.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0035.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0035.tif.sbx,Anthopleura_MEX15_filament_10,20.682368209892083,4.260561272647582
Streamline process/measured/Anthopleura_MEX15@/filament/image0036.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0036.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0036.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0036.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0036.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0036.tif.sbx,Anthopleura_MEX15_filament_11,22.255984300595745,4.536566227830247
Streamline process/measured/Anthopleura_MEX15@/filament/image0038.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0038.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0038.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0038.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0038.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0038.tif.sbx,Anthopleura_MEX15_filament_12,20.756860893712844,4.325200826536393
Streamline process/measured/Anthopleura_MEX15@/filament/image0039.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0039.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0039.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0039.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0039.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0039.tif.sbx,Anthopleura_MEX15_filament_13,23.132023195372447,4.830340688895089
Streamline process/measured/Anthopleura_MEX15@/filament/image0045.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0045.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0045.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0045.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0045.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0045.tif.sbx,Anthopleura_MEX15_filament_14,21.886143016246503,4.21554818389698
Streamline process/measured/Anthopleura_MEX15@/filament/image0054.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0054.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0054.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0054.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0054.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0054.tif.sbx,Anthopleura_MEX15_filament_15,23.813015397093135,4.5033114233751315
Streamline process/measured/Anthopleura_MEX15@/filament/image0063.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0063.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0063.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0063.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0063.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0063.tif.sbx,Anthopleura_MEX15_filament_16,20.70249620781258,4.385968971302701
Streamline process/measured/Anthopleura_MEX15@/filament/image0064.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0064.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0064.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0064.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0064.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0064.tif.sbx,Anthopleura_MEX15_filament_17,20.86835082671758,3.8596482718918192
Streamline process/measured/Anthopleura_MEX15@/filament/image0073.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0073.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0073.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0073.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0073.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0073.tif.sbx,Anthopleura_MEX15_filament_18,20.16933861278076,4.239665234292828
Streamline process/measured/Anthopleura_MEX15@/filament/image0075.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0075.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0075.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0075.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0075.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0075.tif.sbx,Anthopleura_MEX15_filament_19,22.324872364260433,4.385967966108499
Streamline process/measured/Anthopleura_MEX15@/filament/image0079.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0079.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0079.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0079.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0079.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0079.tif.sbx,Anthopleura_MEX15_filament_20,21.57324544374403,4.0805931367040635
Streamline process/measured/Anthopleura_MEX15@/filament/image0094.tif,Anthopleura,MEX15,filament,Streamline process/measured/Anthopleura_MEX15@/filament/image0094.tif.anx,Streamline process/measured/Anthopleura_MEX15@/filament/image0094.tif.cal.xml,Streamline process/measured/Anthopleura_MEX15@/filament/image0094.tif.eax,Streamline process/measured/Anthopleura_MEX15@/filament/image0094.tif.lmd,Streamline process/measured/Anthopleura_MEX15@/filament/image0094.tif.sbx,Anthopleura_MEX15_filament_21,18.70623278857691,4.605057111921247
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011 (2).tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif (2).anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif.cal (2).xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif (2).eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif (2).lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif (2).sbx,Anthopleura_mariscali_MEX20_filament_0,17.532373755831262,4.158162435874555
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0011.tif.sbx,Anthopleura_mariscali_MEX20_filament_1,17.12571697267726,4.283899932009502
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0023.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0023.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0023.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0023.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0023.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0023.tif.sbx,Anthopleura_mariscali_MEX20_filament_2,15.470849976691257,4.604668447919484
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0033.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0033.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0033.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0033.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0033.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0033.tif.sbx,Anthopleura_mariscali_MEX20_filament_3,,
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0052.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0052.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0052.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0052.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0052.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0052.tif.sbx,Anthopleura_mariscali_MEX20_filament_4,17.713201264585546,4.862836932759539
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0065.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0065.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0065.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0065.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0065.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0065.tif.sbx,Anthopleura_mariscali_MEX20_filament_5,,
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0074.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0074.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0074.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0074.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0074.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0074.tif.sbx,Anthopleura_mariscali_MEX20_filament_6,16.934994829836253,4.613291912839781
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0075.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0075.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0075.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0075.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0075.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0075.tif.sbx,Anthopleura_mariscali_MEX20_filament_7,,
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0077.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0077.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0077.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0077.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0077.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0077.tif.sbx,Anthopleura_mariscali_MEX20_filament_8,18.17999814667607,4.78210397819736
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0079.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0079.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0079.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0079.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0079.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0079.tif.sbx,Anthopleura_mariscali_MEX20_filament_9,16.303370091266082,4.245436788014601
Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0080.tif,Anthopleura mariscali,MEX20,filament,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0080.tif.anx,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0080.tif.cal.xml,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0080.tif.eax,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0080.tif.lmd,Streamline process/measured/Anthopleuramariscali_MEX20@/filament/image0080.tif.sbx,Anthopleura_mariscali_MEX20_filament_10,18.05504895250417,4.275896167871612
Streamline process/measured/AnthopleuraMEX1@/filament/image.tif,Anthopleura,MEX1,filament,Streamline process/measured/AnthopleuraMEX1@/filament/image.tif.anx,Streamline process/measured/AnthopleuraMEX1@/filament/image.tif.cal.xml,Streamline process/measured/AnthopleuraMEX1@/filament/image.tif.eax,Streamline process/measured/AnthopleuraMEX1@/filament/image.tif.lmd,Streamline process/measured/AnthopleuraMEX1@/filament/image.tif.sbx,Anthopleura_MEX1_filament_0,18.052494430796195,2.797405249073893
Streamline process/measured/AnthopleuraMEX1@/filament/image0014.tif,Anthopleura,MEX1,filament,Streamline process/measured/AnthopleuraMEX1@/filament/image0014.tif.anx,Streamline process/measured/AnthopleuraMEX1@/filament/image0014.tif.cal.xml,Streamline process/measured/AnthopleuraMEX1@/filament/image0014.tif.eax,Streamline process/measured/AnthopleuraMEX1@/filament/image0014.tif.lmd,Streamline process/measured/AnthopleuraMEX1@/filament/image0014.tif.sbx,Anthopleura_MEX1_filament_1,17.697705769275295,3.95732357694993
Streamline process/measured/AnthopleuraMEX1@/filament/image0028.tif,Anthopleura,MEX1,filament,Streamline process/measured/AnthopleuraMEX1@/filament/image0028.tif.anx,Streamline process/measured/AnthopleuraMEX1@/filament/image0028.tif.cal.xml,Streamline process/measured/AnthopleuraMEX1@/filament/image0028.tif.eax,Streamline process/measured/AnthopleuraMEX1@/filament/image0028.tif.lmd,Streamline process/measured/AnthopleuraMEX1@/filament/image0028.tif.sbx,Anthopleura_MEX1_filament_2,17.884897004889712,4.315375743235782
Streamline process/measured/AnthopleuraMEX1@/filament/image0041.tif,Anthopleura,MEX1,filament,Streamline process/measured/AnthopleuraMEX1@/filament/image0041.tif.anx,Streamline process/measured/AnthopleuraMEX1@/filament/image0041.tif.cal.xml,Streamline process/measured/AnthopleuraMEX1@/filament/image0041.tif.eax,Streamline process/measured/AnthopleuraMEX1@/filament/image0041.tif.lmd,Streamline process/measured/AnthopleuraMEX1@/filament/image0041.tif.sbx,Anthopleura_MEX1_filament_3,17.512544907118553,4.48289931178644
Streamline process/measured/AnthopleuraMEX1@/filament/image0048.tif,Anthopleura,MEX1,filament,Streamline process/measured/AnthopleuraMEX1@/filament/image0048.tif.anx,Streamline process/measured/AnthopleuraMEX1@/filament/image0048.tif.cal.xml,Streamline process/measured/AnthopleuraMEX1@/filament/image0048.tif.eax,Streamline process/measured/AnthopleuraMEX1@/filament/image0048.tif.lmd,Streamline process/measured/AnthopleuraMEX1@/filament/image0048.tif.sbx,Anthopleura_MEX1_filament_4,18.899723835190876,4.104982984781848
Streamline process/measured/AnthopleuraMEX1@/filament/image0064.tif,Anthopleura,MEX1,filament,Streamline process/measured/AnthopleuraMEX1@/filament/image0064.tif.anx,Streamline process/measured/AnthopleuraMEX1@/filament/image0064.tif.cal.xml,Streamline process/measured/AnthopleuraMEX1@/filament/image0064.tif.eax,Streamline process/measured/AnthopleuraMEX1@/filament/image0064.tif.lmd,Streamline process/measured/AnthopleuraMEX1@/filament/image0064.tif.sbx,Anthopleura_MEX1_filament_5,16.905179494641178,3.798351148849542
